,merge.labels.M3,Lung,Liver,Right Ovary,Left Ovary,Adrenal
460,bar|833 7906,1,0,0,0,0
461,bar|834 12769,35,0,0,0,0
462,bar|835 1538,1,0,0,0,0
463,bar|836 2950,99,0,0,0,0
464,bar|840 1472,12808,0,0,0,0
465,bar|840 9150,7,0,0,0,0
466,bar|840 14722,1,0,0,0,0
467,bar|847 11603,363,0,0,0,0
468,bar|848 324,2,0,0,0,0
469,bar|848 838,1,0,0,0,0
470,bar|848 1041,1,0,0,0,0
471,bar|848 1082,1,0,0,0,0
472,bar|848 1251,2,0,0,0,0
473,bar|848 1472,1,0,0,0,0
474,bar|848 1504,3,0,0,0,0
475,bar|848 1774,1,0,0,0,0
476,bar|848 1824,1,0,0,0,0
477,bar|848 1908,1,0,0,0,0
478,bar|848 1909,2,0,0,0,0
479,bar|848 2228,1,0,0,0,0
480,bar|848 2983,1,0,0,0,0
481,bar|848 3310,7,0,0,0,0
482,bar|848 3425,1,0,0,0,0
483,bar|848 3566,1,0,0,0,0
484,bar|848 3582,5,0,0,0,0
485,bar|848 3588,1,0,0,0,0
486,bar|848 3703,3,0,0,0,0
487,bar|848 6712,1,0,0,0,0
488,bar|848 6930,3,0,0,0,0
489,bar|848 7238,1,0,0,0,0
490,bar|848 7279,2,0,0,0,0
491,bar|848 7406,2,0,0,0,0
492,bar|848 7653,3,0,0,0,0
493,bar|848 7662,680601,150,61,5,7
494,bar|848 7663,1,0,0,0,0
495,bar|848 7803,1,0,0,0,0
496,bar|848 7958,1,0,0,0,0
497,bar|848 8030,2,0,0,0,0
498,bar|848 8033,1,0,0,0,0
499,bar|848 8886,172,0,0,0,0
500,bar|848 9039,1,0,0,0,0
501,bar|848 9423,2,0,0,0,0
502,bar|848 9835,1,0,0,0,0
503,bar|848 11297,1,0,0,0,0
504,bar|848 11389,1,0,0,0,0
505,bar|848 11907,1,0,0,0,0
506,bar|848 13371,5,0,0,0,0
507,bar|848 14158,1,0,0,0,0
508,bar|848 14205,2,0,0,0,0
509,bar|848 14566,1,0,0,0,0
510,bar|848 14722,3,0,0,0,0
511,bar|848 14891,1,0,0,0,0
512,bar|848 15869,4,0,0,0,0
513,bar|848 15952,1,0,0,0,0
514,bar|851 755,10485,0,2,0,0
515,bar|851 2657,1,0,0,0,0
516,bar|851 2820,1,0,0,0,0
517,bar|851 4033,2689,0,0,0,0
518,bar|856 1033,10,0,7,2,0
519,bar|857 6021,11,0,39,1,0
520,bar|857 10936,166,485,21,13,9
521,bar|859 7389,4324,0,0,0,0
522,bar|860 9377,1043,1,9,0,0
523,bar|860 9403,7396,0,0,0,0
524,bar|860 10378,1,0,0,0,0
525,bar|864 91,779,0,0,0,0
526,bar|864 2155,9,0,0,0,0
527,bar|864 12237,9,0,0,0,0
528,bar|864 13792,12,0,4,0,0
529,bar|865 4483,1,0,0,0,0
530,bar|865 7026,4114,0,0,0,0
531,bar|865 9914,2,1,4,0,0
532,bar|866 1541,1,0,0,0,0
533,bar|866 7757,1,0,353,6,1
534,bar|866 10111,15021,0,8,0,0
